symbol,date,open,high,low,close,volume,prev_close,gap,run,dollar_vol,advol20,rvol
DELL,2026-05-29,417.310412,428.443015,401.606362,420.215611,41832954.0,316.526952,0.3184040390974352,0.3535751451585709,17578860325.044895,7844933.25,5.332480553610829
DELL,2026-09-02,462.05,497.9899,432.2651,492.2,36720176.0,425.0,0.08717647058823541,0.17174094117647054,18073670627.2,5826487.35,6.302283656378315
DKNG,2025-02-14,48.72,53.61,48.04,53.49,48335410.0,46.45,0.04886975242195901,0.15414424111948333,2585461080.9,7528991.85,6.419904678207349
DLR,2024-10-25,175.405711,184.363327,171.506961,172.125056,6093376.0,157.024532,0.11705928217636719,0.17410524745267186,1048822685.229056,1371142.0,4.444015280693028
DOC,2026-05-06,16.630476,19.253503,16.503002,19.121126,28533639.0,16.18922,0.027256161816319846,0.18927922407626796,545595306.557514,7745348.75,3.6839708476651873
DOCU,2024-12-06,96.0,107.8599,95.33,106.99,19823661.0,83.68,0.14722753346080286,0.28895673996175897,2120933490.3899999,2702659.95,7.334870596650533
DOCU,2025-03-14,81.52,88.7,80.75,85.76,11933868.0,74.7,0.09129852744310574,0.18741633199464514,1023448519.6800001,2317955.2,5.148446354787184
DT,2026-08-05,51.505,53.285,50.22,50.86,18356536.0,45.71,0.12677751039159935,0.1657186611244803,933613420.96,4069041.65,4.511267659302529
EBAY,2025-07-31,86.817964,91.336042,86.375016,90.312338,20280217.0,76.344686,0.13718411259167418,0.1963641058134682,1831553812.417346,4726937.2,4.290350419717867
EL,2026-08-19,93.422668,99.477102,93.178497,97.678213,13700867.0,83.984726,0.11237688624476805,0.18446658979395858,1338276205.110671,2368368.3,5.784939360993812
ELAN,2025-05-07,10.83,12.14,10.75,12.01,22255381.0,9.51,0.13880126182965302,0.27655099894847535,267287125.81,5693206.35,3.9091119541100072
EQX,2025-08-14,7.060917,7.867594,7.050958,7.787922,37497441.0,6.762147,0.04418271297562737,0.1634757422457691,292027145.707602,11855278.35,3.1629321465910585
ETR,2024-10-31,67.279199,74.315087,66.999659,73.334327,6016765.0,63.678341,0.056547610120684544,0.16703867960379193,441235411.992155,1426368.75,4.218239498026019
EXK,2026-05-07,10.17,11.4259,10.06,10.15,20953408.0,9.31,0.09237379162191184,0.22727175080558526,212677091.20000002,6911496.25,3.031674653661282
F,2026-05-13,11.84175,13.790643,11.84175,13.424607,216261152.0,11.861536,-0.0016680807612100557,0.16263551364679918,2903220974.967264,42330925.75,5.108821698755312
FCEL,2024-10-28,9.87,11.994,9.75,11.007,2444406.12222603,9.612,0.02684144818976275,0.24781523096129843,26905578.187341914,643719.3106280625,3.797316752609267
FCEL,2024-11-04,10.503,12.57,10.5,11.421,3035426.16312402,10.464,0.003727064220183429,0.20126146788990829,34667602.209039435,734201.3382465255,4.134323931325775
FCEL,2024-11-15,8.26,9.45,5.87,6.16,13371592.0,7.01,0.1783166904422253,0.34807417974322385,82369006.72,1447926.672682448,9.234992525710997
