date,spy_below_sma20,spy_below_sma50,spy_rv10,spy_ret5
2021-11-23,,,,
2021-11-24,False,False,,
2021-11-26,False,False,,
2021-11-29,False,False,,
2021-11-30,False,False,,
2021-12-01,False,False,,
2021-12-02,False,False,,-0.03778380506947587
2021-12-03,False,False,,-0.02564758073446083
2021-12-06,False,False,,-0.01209229153034408
2021-12-07,False,False,,-0.012505382568778312
2021-12-08,False,False,,0.02792167829713388
2021-12-09,False,False,0.2390535333148859,0.04221975630276531
2021-12-10,False,False,0.24120208266679474,0.01956711749336515
2021-12-13,False,False,0.2119027422873057,0.03819857954333217
2021-12-14,False,False,0.2114979819130626,0.016957650340366337
2021-12-15,False,False,0.18616869965312108,-0.010506533997909129
2021-12-16,False,False,0.18276652412872132,0.0023002208827727078
2021-12-17,False,False,0.18268639157637304,0.00021443192589076787
2021-12-20,False,False,0.186091395345458,-0.019652048255180854
2021-12-21,False,False,0.18642345368230398,-0.021407762888316473
2021-12-22,False,False,0.17751444315829243,0.002870825207581751
2021-12-23,False,False,0.18508541922458627,-0.0026848137723227694
2021-12-27,False,False,0.18324053331885484,0.012448861146011403
2021-12-28,False,False,0.19050162417762237,0.03781503619055693
2021-12-29,False,False,0.18199966154738517,0.04811200569535812
2021-12-30,False,False,0.17456009472528775,0.031140674414789293
2021-12-31,False,False,0.1625339368925735,0.018110286349885207
2022-01-03,False,False,0.15411473676817247,0.009264768799065237
2022-01-04,False,False,0.13689395110163358,0.0009428822163024542
2022-01-05,False,False,0.1142881539865987,0.0014259648437655592
2022-01-06,True,False,0.14430359999100836,-0.019058391180985956
2022-01-07,True,False,0.1357827166136105,-0.017263105504149
2022-01-10,True,False,0.13247628400365222,-0.018675258407370166
2022-01-11,True,False,0.1025615913993738,-0.02553850720088824
2022-01-12,False,False,0.11798530834438888,-0.016333367767899287
2022-01-13,False,False,0.11912851209157364,0.005636448775986347
2022-01-14,True,False,0.1346472445965046,-0.007287257106372458
2022-01-18,True,False,0.13539748659338832,-0.002939345453221276
2022-01-19,True,False,0.14767351061014802,-0.0193765977539333
2022-01-20,True,False,0.14836285766957055,-0.03831825606430206
2022-01-21,True,False,0.13204902213541153,-0.05152647416287148
2022-01-24,True,False,0.14939774821681526,-0.057154543603104235
2022-01-25,True,False,0.15877273269899014,-0.05353761395346979
2022-01-26,True,False,0.15962844613166507,-0.04823763939725145
2022-01-27,True,False,0.13606106082338376,-0.04066408215560591
2022-01-28,True,False,0.12412426496314241,-0.03471740394087053
2022-01-31,True,False,0.2052375847367408,0.009064341187023928
2022-02-01,True,False,0.23485984647435945,0.022894689646384192
