symbol,date,gap,run,prev_close,entry,stop,exit,reason,entry_min,exit_min,stop_pct,shares,R_dollars,gross,net,R_multiple,period
BCRX,2025-05-05,0.0968645016797313,0.2441209406494959,8.93,10.01,10.107700000000001,9.814599999999997,target,615,630,0.009760239760239906,1000,0.09770000000000145,175.40000000000333,165.40000000000333,1.6929375639713498,DEV
ELAN,2025-05-07,0.138801261829653,0.2765509989484753,9.51,11.015,11.102701923076923,11.102701923076923,stop,640,690,0.007962044764132772,1000,0.08770192307692248,-107.70192307692206,-117.70192307692206,-1.342067755728536,DEV
FIGS,2026-02-27,0.1684041700080192,0.2750521251002404,12.47,14.8345,15.232125,15.232125,stop,595,600,0.026804071589874932,377,0.3976249999999997,-157.44462499999972,-161.21462499999973,-1.0754479723357426,HOLDOUT
FIGS,2026-08-07,0.3523131672597863,0.4572953736654803,11.24,15.32,15.913851249999999,14.132297500000004,target,595,680,0.038763136422976394,252,0.5938512499999984,294.2610299999993,291.74102999999934,1.9494822988079936,HOLDOUT
GLUE,2025-09-15,0.501039501039501,0.5384615384615388,4.81,6.54,6.734417857142857,6.734417857142857,stop,680,845,0.02972750109217993,771,0.19441785714285675,-165.31616785714223,-173.02616785714224,-1.1543068133806034,DEV
KSS,2026-05-28,0.199535999589689,0.2544470278539767,12.829299,15.245335330019245,15.8000189713831,15.468583,eod,595,955,0.036383826879271074,270,0.5546836413638552,-65.676870894804,-68.376870894804,-0.45656235572058806,HOLDOUT
LION,2025-05-07,0.1413843888070691,0.251840942562592,6.79,7.5,7.6657399999999996,7.6657399999999996,stop,670,680,0.022098666666666607,905,0.16573999999999955,-168.09469999999922,-177.14469999999923,-1.1810063955593078,DEV
LYFT,2024-11-07,0.2347222222222222,0.3069444444444444,14.4,18.2075,18.445006785714288,17.732486428571423,target,665,690,0.013044447931582484,631,0.23750678571428807,287.11356357142955,280.80356357142955,1.873687819445748,DEV
M,2025-09-03,0.1438101631278383,0.2179391766477718,12.997475,15.406488057328009,15.52981472858108,15.52981472858108,stop,625,630,0.008004852942096156,1000,0.1233266712530714,-143.32667125307097,-153.32667125307097,-1.2432563831909347,DEV
NVCR,2026-02-12,0.3714285714285714,0.4257142857142857,10.5,13.805,14.327223928571428,12.760552142857144,target,665,840,0.03782860764733271,287,0.5222239285714281,294.01653499999986,291.14653499999986,1.9425533791948866,HOLDOUT
OSCR,2025-05-07,0.2287681713848506,0.3312930374904359,13.07,16.21,16.463031785714286,16.463031785714286,stop,690,715,0.01560961046972762,592,0.25303178571428475,-161.63481714285842,-167.5548171428584,-1.1185621795116212,DEV
PATH,2025-09-30,0.2085987261146495,0.2085987261146495,12.56,14.375,14.588783571428571,13.947432857142857,target,615,630,0.014871900621118012,701,0.2137835714285714,285.7045671428574,278.6945671428574,1.859671162758065,DEV
PD,2026-05-29,0.254032258064516,0.3461021505376345,7.44,9.185,9.205575,9.143850000000002,target,615,620,0.0022400653238975636,1000,0.020574999999999122,21.14999999999867,11.14999999999867,0.5419198055892659,HOLDOUT
PGNY,2026-05-08,0.2207724425887265,0.2400835073068894,19.16,22.45,22.52380666666667,22.59,stop_gap,620,625,0.003287602078693527,1000,0.07380666666666968,-160.0000000000037,-170.0000000000037,-2.303314967030938,HOLDOUT
PURR,2026-08-19,0.0083333333333333,0.3107638888888888,7.2,7.0,7.05068875,7.05068875,stop,595,605,0.0072412499999999925,1000,0.05068874999999995,-70.68874999999952,-80.68874999999952,-1.591847303395716,HOLDOUT
QDEL,2026-06-29,0.2327773749093546,0.4358230601885426,13.79,18.47,18.715387857142858,18.23,eod,670,955,0.013285752958465563,611,0.24538785714285893,134.41999999999715,128.30999999999713,0.8557880672870392,HOLDOUT
RDW,2025-06-04,0.037398921832884,0.216374663072776,14.84,16.93,17.126075,16.53785,target,700,715,0.011581512108682837,765,0.19607500000000044,284.6947499999983,277.0447499999983,1.8469973224531275,DEV
TAL,2025-01-23,0.1774370208105147,0.2146768893756845,9.13,10.485,10.600771785714285,10.600771785714285,stop,675,685,0.011041658151100168,1000,0.11577178571428526,-135.77178571428482,-145.77178571428482,-1.2591304937978323,DEV
USAR,2025-10-02,0.0054318305268876,0.269418794133623,18.41,19.24,19.54384125,19.905,stop_gap,595,600,0.015792164760914836,493,0.3038412500000014,-337.7050000000029,-342.6350000000029,-2.287378688706694,DEV
WBD,2025-09-11,0.0035885167464115,0.3747846889952153,12.54,12.945,13.029375,13.029375,stop,595,605,0.0065179606025492194,1000,0.08437499999999964,-104.37499999999922,-114.37499999999922,-1.355555555555552,DEV
