,0
2024-09-06,1.0
2024-09-09,1.0
2024-09-10,1.0
2024-09-11,1.0
2024-09-12,1.0
2024-09-13,1.0
2024-09-16,1.0
2024-09-17,1.0
2024-09-18,1.0
2024-09-19,1.0
2024-09-20,1.0
2024-09-23,1.0
2024-09-24,1.0
2024-09-25,1.0
2024-09-26,1.0
2024-09-27,1.0
2024-09-30,1.0
2024-10-01,1.0
2024-10-02,1.0
2024-10-03,1.0
2024-10-04,1.0
2024-10-07,1.0
2024-10-08,1.0
2024-10-09,0.9657676300578034
2024-10-10,0.9657676300578034
2024-10-11,0.9657676300578034
2024-10-14,0.9184266206110653
2024-10-15,0.9184266206110653
2024-10-16,0.9184266206110653
2024-10-17,0.9256796543787905
2024-10-18,0.9468940269641793
2024-10-21,0.9468940269641793
2024-10-22,0.9468940269641793
2024-10-23,0.9468940269641793
2024-10-24,0.9299867314192223
2024-10-25,0.9299867314192223
2024-10-28,0.9299867314192223
2024-10-29,0.9299867314192223
2024-10-30,0.9299867314192223
2024-10-31,0.9299867314192223
2024-11-01,0.9377313135304419
2024-11-04,0.9377313135304419
2024-11-05,0.9377313135304419
2024-11-06,0.9228776893803532
2024-11-07,0.9228776893803532
2024-11-08,0.9228776893803532
2024-11-11,0.9228776893803532
2024-11-12,0.9228776893803532
2024-11-13,0.9599111460546039
2024-11-14,0.9599111460546039
2024-11-15,0.9599111460546039
2024-11-18,0.944017494550831
2024-11-19,0.944017494550831
2024-11-20,0.944017494550831
2024-11-21,0.9616344926343249
2024-11-22,0.9682768605658979
2024-11-25,0.9208128510293963
2024-11-26,0.9208128510293963
2024-11-27,0.9208128510293963
2024-11-29,0.9208128510293963
2024-12-02,0.9208128510293963
2024-12-03,0.9208128510293963
2024-12-04,0.8953360457893953
2024-12-05,0.8953360457893953
2024-12-06,0.8953360457893953
2024-12-09,0.8953360457893953
2024-12-10,0.8953360457893953
2024-12-11,0.8789349751326869
2024-12-12,0.876146746742508
2024-12-13,0.876146746742508
2024-12-16,0.876146746742508
2024-12-17,0.876146746742508
2024-12-18,0.876146746742508
2024-12-19,0.9392485952384925
2024-12-20,0.9392485952384925
2024-12-23,0.9392485952384925
2024-12-26,0.9392485952384925
2024-12-27,0.9392485952384925
2024-12-30,0.9392485952384925
2024-12-31,0.9568724451178766
2025-01-02,0.9685000392129662
2025-01-03,0.9685000392129662
2025-01-06,0.951646866224767
2025-01-07,0.951646866224767
2025-01-08,0.951646866224767
2025-01-10,0.9470159579561607
2025-01-13,0.9470159579561607
2025-01-14,0.9598143667626878
2025-01-15,0.9576201346524889
2025-01-16,0.8849089240779177
2025-01-17,0.841531531390022
2025-01-21,0.8002804571798845
2025-01-22,0.8401344239474428
2025-01-23,0.8401344239474428
2025-01-24,0.8483114548651547
2025-01-27,0.8483114548651547
2025-01-28,0.816434980515087
2025-01-29,0.816434980515087
2025-01-30,0.8000207089113152
2025-01-31,0.8000207089113152
2025-02-03,0.8000207089113152
2025-02-04,0.785517708725406
2025-02-05,0.785517708725406
2025-02-06,0.8038849331782273
2025-02-07,0.8038849331782273
2025-02-10,0.8038849331782273
2025-02-11,0.8038849331782273
2025-02-12,0.8038849331782273
2025-02-13,0.8038849331782273
2025-02-14,0.8038849331782273
2025-02-18,0.7999545720229186
2025-02-19,0.8285658159992451
2025-02-20,0.8168190819402237
2025-02-21,0.8958670223844146
2025-02-24,0.8958670223844146
2025-02-25,0.8958670223844146
2025-02-26,0.8989479952183391
2025-02-27,0.9355706755566444
2025-02-28,0.9355706755566444
2025-03-03,1.0261885940495301
2025-03-04,1.0261885940495301
2025-03-05,0.9945365659349749
2025-03-06,0.9945365659349749
2025-03-07,0.9945365659349749
2025-03-10,0.9945365659349749
2025-03-11,0.9945365659349749
2025-03-12,1.0077184532467043
2025-03-13,1.0077184532467043
2025-03-14,0.9912682185840385
2025-03-17,0.9912682185840385
2025-03-18,0.9912682185840385
2025-03-19,0.9545793012247062
2025-03-20,0.9545793012247062
2025-03-21,0.9545793012247062
2025-03-24,0.9545793012247062
2025-03-25,0.9545793012247062
2025-03-26,0.9545793012247062
2025-03-27,0.9545793012247062
2025-03-28,0.9727292270663379
2025-03-31,0.9692746152124161
2025-04-01,0.9333006802078181
2025-04-02,0.9333006802078181
2025-04-03,0.9333006802078181
2025-04-04,0.9911125459675636
2025-04-07,0.9911125459675636
2025-04-08,1.0759469688516572
2025-04-09,1.0232050731499478
2025-04-10,0.9730485349451595
2025-04-11,0.9730485349451595
2025-04-14,0.9808749033418473
2025-04-15,0.9808749033418473
2025-04-16,0.9808749033418473
2025-04-17,0.9808749033418473
2025-04-21,0.9808749033418473
2025-04-22,0.9808749033418473
2025-04-23,0.9957326939603834
2025-04-24,0.9957326939603834
2025-04-25,0.9957326939603834
2025-04-28,0.9957326939603834
2025-04-29,0.9957326939603834
2025-04-30,0.9957326939603834
2025-05-01,0.9957326939603834
2025-05-02,0.9977101997778183
2025-05-05,0.9704556995354119
2025-05-06,0.9704556995354119
2025-05-07,0.9704556995354119
